phenotypes,referenceCardinality,nViolations,fitness,likelihood,generality,X2S
:383  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRIOrLiteral ;  ] . ,972,0,972,"1,51E-25","0,0232",
:384  a sh:NodeShape ; sh:targetClass <http://www.w3.org/2002/07/owl#Class>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRIOrLiteral ;  ] . ,972,0,972,"1,51E-25","0,0232",
:385  a sh:NodeShape ; sh:targetClass <http://www.w3.org/2004/02/skos/core#Concept>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] . ,972,0,972,"1,51E-25","0,0232",
:168  a sh:NodeShape ; sh:targetClass <https://ns.inria.fr/sure#Parking>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#sfWithin>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] . ,846,0,846,"1,77E-22","0,0202",
:386  a sh:NodeShape ; sh:targetClass <https://ns.inria.fr/sure#Quiet>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#sfWithin>  ; sh:nodeKind sh:IRI ;  ] . ,751,0,751,"3,68E-20","0,0179",
:421  a sh:NodeShape ; sh:targetClass <https://ns.inria.fr/sure#Quiet>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#sfWithin>  ; sh:nodeKind sh:IRIOrLiteral ;  ] . ,751,0,751,"3,68E-20","0,0179",
:15  a sh:NodeShape ; sh:targetObjectsOf <http://www.opengis.net/ont/geosparql#hasGeometry>  ; sh:nodeKind sh:BlankNodeOrIRI . ,727,0,727,"1,42E-19","0,0174",
:16  a sh:NodeShape ; sh:targetObjectsOf <http://www.opengis.net/ont/geosparql#hasGeometry>  ; sh:nodeKind sh:IRIOrLiteral . ,727,0,727,"1,42E-19","0,0174",
:17  a sh:NodeShape ; sh:targetObjectsOf <http://www.opengis.net/ont/geosparql#hasGeometry>  ; sh:nodeKind sh:IRI . ,727,0,727,"1,42E-19","0,0174",
:105  a sh:NodeShape ; sh:targetSubjectsOf <http://www.opengis.net/ont/geosparql#asWKT>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRI ;  ] . ,727,0,727,"1,42E-19","0,0174",
:169  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#asWKT>  ; sh:datatype <http://www.opengis.net/ont/geosparql#wktLiteral>  ;  ] . ,727,0,727,"1,42E-19","0,0174",
:208  a sh:NodeShape ; sh:targetSubjectsOf <http://www.opengis.net/ont/geosparql#asWKT>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] . ,727,0,727,"1,42E-19","0,0174",
:209  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#hasGeometry>  ; sh:nodeKind sh:IRIOrLiteral ;  ] . ,727,0,727,"1,42E-19","0,0174",
:210  a sh:NodeShape ; sh:targetSubjectsOf <http://www.opengis.net/ont/geosparql#hasGeometry>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#hasGeometry>  ; sh:nodeKind sh:IRI ;  ] . ,727,0,727,"1,42E-19","0,0174",
:324  a sh:NodeShape ; sh:targetSubjectsOf <http://www.opengis.net/ont/geosparql#asWKT>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRIOrLiteral ;  ] . ,727,0,727,"1,42E-19","0,0174",
:387  a sh:NodeShape ; sh:targetSubjectsOf <http://www.opengis.net/ont/geosparql#asWKT>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#asWKT>  ; sh:datatype <http://www.opengis.net/ont/geosparql#wktLiteral>  ;  ] . ,727,0,727,"1,42E-19","0,0174",
:18  a sh:NodeShape ; sh:targetClass <https://ns.inria.fr/sure#Bright>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRI ;  ] . ,724,0,724,"1,68E-19","0,0173",
